0.68301344	CAD	2005-07-01	0.68105972
0.6820817	CAD	2005-07-02	0.68320012
0.68157035	CAD	2005-07-03	0.67870229
0.68157035	CAD	2005-07-04	0.68450958
0.68306011	CAD	2005-07-05	0.68152386
0.68301344	CAD	2005-07-06	0.68667167
0.68394774	CAD	2005-07-07	0.6820817
0.68385422	CAD	2005-07-08	0.68474388
0.68222129	CAD	2005-07-09	0.67787421
0.6812917	CAD	2005-07-10	0.6854949
0.68124533	CAD	2005-07-11	0.67851812
0.68157035	CAD	2005-07-12	0.68203521
0.6812917	CAD	2005-07-13	0.67962486
0.68105972	CAD	2005-07-14	0.68287355
0.67916328	CAD	2005-07-15	0.67851812
0.678334	CAD	2005-07-16	0.67920941
0.67824197	CAD	2005-07-17	0.67773634
0.67567569	CAD	2005-07-18	0.6801796
0.67558438	CAD	2005-07-19	0.67290223
0.67462724	CAD	2005-07-20	0.67490047
0.67590404	CAD	2005-07-21	0.67240453
0.67572135	CAD	2005-07-22	0.68022585
0.67796612	CAD	2005-07-23	0.67599541
0.6763612	CAD	2005-07-24	0.67948633
0.67764449	CAD	2005-07-25	0.67421788
0.67663574	CAD	2005-07-26	0.67911714
0.6761325	CAD	2005-07-27	0.67540187
0.67686474	CAD	2005-07-28	0.67704809
0.67604113	CAD	2005-07-29	0.67408156
0.67512828	CAD	2005-07-30	0.67686474
0.67376363	CAD	2005-07-31	0.67308342
0.67649847	CAD	2005-08-01	0.67691058
0.67668158	CAD	2005-08-02	0.67567569
0.67773634	CAD	2005-08-03	0.67976344
0.67672735	CAD	2005-08-04	0.67299283
0.67563003	CAD	2005-08-05	0.67907101
0.67558438	CAD	2005-08-06	0.67453623
0.67695642	CAD	2005-08-07	0.67971724
0.67773634	CAD	2005-08-08	0.67649847
0.6802721	CAD	2005-08-09	0.68418169
0.68124533	CAD	2005-08-10	0.67691058
0.68119889	CAD	2005-08-11	0.68147743
0.68306011	CAD	2005-08-12	0.68278027
0.68306011	CAD	2005-08-13	0.68338686
0.6892274	CAD	2005-08-14	0.68756878
0.68827862	CAD	2005-08-15	0.68989307
0.68827862	CAD	2005-08-16	0.68686038
0.69137168	CAD	2005-08-17	0.69141948
0.69156295	CAD	2005-08-18	0.68681318
0.69151509	CAD	2005-08-19	0.69367367
